PASS  SETUP: a real Super Admin exists
PASS  the Admin console renders its menu at 1440px
PASS  Billing & Benefits: clicking changes the URL  [/admin -> /admin/billing]
PASS  Billing & Benefits: the destination loads without an error  [/admin/billing]
PASS  Billing & Benefits: renders its OWN content, not another section's  [5 controls]
PASS  Billing & Benefits: the menu shows where you are  [nav-admin.billing_benefits]
PASS  Billing & Benefits: browser Back returns to the overview  [/admin]
PASS  Billing & Benefits: the URL works typed directly  [/admin/billing]
PASS  Billing & Benefits: and a refresh keeps the same section  [same content]
PASS  Analytics: clicking changes the URL  [/admin -> /admin/analytics]
PASS  Analytics: the destination loads without an error  [/admin/analytics]
PASS  Analytics: renders its OWN content, not another section's  [1 controls]
PASS  Analytics: the menu shows where you are  [nav-admin.analytics]
PASS  Analytics: browser Back returns to the overview  [/admin]
PASS  Analytics: the URL works typed directly  [/admin/analytics]
PASS  Analytics: and a refresh keeps the same section  [same content]
PASS  Operations: clicking changes the URL  [/admin -> /admin/operations]
PASS  Operations: the destination loads without an error  [/admin/operations]
PASS  Operations: renders its OWN content, not another section's  [57 controls]
PASS  Operations: the menu shows where you are  [nav-admin.operations]
PASS  Operations: browser Back returns to the overview  [/admin]
PASS  Operations: the URL works typed directly  [/admin/operations]
PASS  Operations: and a refresh keeps the same section  [same content]
PASS  Administrators: clicking changes the URL  [/admin -> /admin/admins]
PASS  Administrators: the destination loads without an error  [/admin/admins]
PASS  Administrators: renders its OWN content, not another section's  [11 controls]
PASS  Administrators: the menu shows where you are  [nav-admin.admins]
PASS  Administrators: browser Back returns to the overview  [/admin]
PASS  Administrators: the URL works typed directly  [/admin/admins]
PASS  Administrators: and a refresh keeps the same section  [same content]
PASS  Settings: clicking changes the URL  [/admin -> /admin/settings]
PASS  Settings: the destination loads without an error  [/admin/settings]
PASS  Settings: renders its OWN content, not another section's  [1 controls]
PASS  Settings: the menu shows where you are  [nav-dash.settings]
PASS  Settings: browser Back returns to the overview  [/admin]
PASS  Settings: the URL works typed directly  [/admin/settings]
PASS  Settings: and a refresh keeps the same section  [same content]
PASS  OWNER 4A: the sidebar does NOT offer Name Changes as its own entry  [no such entry]
PASS  OWNER 4C: Professional Registrations is directly after User Management  [positions 1 and 2 of 15]
PASS  OWNER 4A: Name Change Requests is a tab INSIDE User Management
PASS  OWNER 4A: the legacy /admin/name-changes URL opens that tab, for old bookmarks  [path /admin/name-changes, tab selected true]
PASS  RESTRICTED: a MARKETPLACE_ADMIN sees a SMALLER menu than a Super Admin  [7 of 15]
PASS  RESTRICTED: every entry they are offered opens something real  [7 entries]
PASS  RESTRICTED: some destinations are withheld from them  [8 withheld]
PASS  RESTRICTED: and the server refuses the data behind a withheld entry  [HTTP 403 on admin.admins]

117/117 checks passed
